game_rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
235,Luigi's Mansion: Dark Moon,Nintendo 3DS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,2010
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,2010
237,The Last of Us,PlayStation 4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55,2010
238,Guitar Hero III: Legends of Rock,Xbox 360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53,2000
239,Madden NFL 2005,PlayStation 2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,2000
240,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980
241,Madden NFL 07,PlayStation 2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,2000
242,Spider-Man: The Movie,PlayStation 2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,2000
243,Dragon Quest VII: Warriors of Eden,PlayStation,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,2000
244,Uncharted: The Nathan Drake Collection,PlayStation 4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,2010
245,Call of Duty: Advanced Warfare,PlayStation 3,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45,2010
246,God of War,PlayStation 2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,2000
247,Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,2010
248,Michael Jackson: The Experience,Wii U,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42,2010
249,Tony Hawk's Pro Skater 3,PlayStation 2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,2000
250,Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,2000
251,The Elder Scrolls IV: Oblivion,Xbox 360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,2000
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,1980
253,Need for Speed: Most Wanted,PlayStation 2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,2000
254,Resistance: Fall of Man,PlayStation 3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,2000
255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,1990
256,Kingdom Hearts II,PlayStation 2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,2000
257,FIFA 14,Xbox 360,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,2010
258,Call of Duty: Advanced Warfare,Xbox 360,2014,Shooter,Activision,2.75,1.18,0.0,0.37,4.31,2010
259,Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,1980
260,Fable II,Xbox 360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,2000
261,Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26,2010
