game_rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
60,Super Mario 64,Nintendo DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2000
61,Just Dance 3,Wii U,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,2010
62,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2010
63,Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2010
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1990
65,New Super Mario Bros. 2,Nintendo 3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2010
66,Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2010
67,Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1990
68,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2010
69,Just Dance 2,Wii U,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2010
70,Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1990
71,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,2000
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1990
73,Minecraft,Xbox 360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2010
74,Animal Crossing: New Leaf,Nintendo 3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2010
75,Mario Party DS,Nintendo DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,2000
76,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2010
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,1990
78,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,2010
79,Wii Party,Wii U,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,2010
80,Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2000
81,Mario Party 8,Wii U,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2000
82,Pokemon Black 2/Pokemon White 2,Nintendo DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,2010
83,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2010
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,2000
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,1990
86,Mario & Sonic at the Olympic Games,Wii U,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2000
87,Final Fantasy X,PlayStation 2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2000
88,Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1990
89,Pokémon Platinum Version,Nintendo DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,2000
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2000
92,Super Mario Galaxy 2,Wii U,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010
93,Star Wars Battlefront (2015),PlayStation 4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,2010
94,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,2010
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1990
96,Crash Bandicoot 2: Cortex Strikes Back,PlayStation,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1990
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1980
98,Super Smash Bros. for Wii U and 3DS,Nintendo 3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,2010
99,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,2000
100,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,2010
101,The Legend of Zelda: Twilight Princess,Wii U,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2000
102,Call of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,2010
103,Just Dance,Wii U,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,2000
104,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,2010
105,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,2000
106,Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,1990
107,Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1990
108,Super Smash Bros. Melee,GameCube,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,2000
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,2010
110,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,2010
111,Mario Kart: Double Dash!!,GameCube,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,2000
112,Just Dance 4,Wii U,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,2010
113,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,2010
114,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,2000
115,Medal of Honor: Frontline,PlayStation 2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,2000
116,Uncharted 3: Drake's Deception,PlayStation 3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2010
117,Crash Bandicoot,PlayStation,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1990
118,Zumba Fitness,Wii U,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,2010
119,Gears of War 2,Xbox 360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,2000
120,Uncharted 2: Among Thieves,PlayStation 3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,2000
121,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,2000
122,FIFA 12,PlayStation 3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,2010
123,Big Brain Academy,Nintendo DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,2000
124,Red Dead Redemption,PlayStation 3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2010
125,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,2010
126,Donkey Kong Country Returns,Wii U,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,2010
127,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2010
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1980
129,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,2010
130,Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,2000
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,2000
132,Kingdom Hearts,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,2000
133,Pokémon Crystal Version,Game Boy Advance,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,2000
134,Halo 3: ODST,Xbox 360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,2000
135,Red Dead Redemption,Xbox 360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2010
136,Super Mario Sunshine,GameCube,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,2000
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,1990
